시도,시군구,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,
,,사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명])
,성주군,33,2,31,15,16,0,32,3,30,10,18,2,41,4,40,17,21,2,28,3,25,10,15,0,20,5,16,5,11,0
,칠곡군,76,4,76,37,37,2,94,6,98,40,53,5,77,2,75,25,44,6,55,2,56,24,31,1,62,1,66,30,35,1
,예천군,25,6,20,16,4,0,30,1,35,23,11,1,20,0,21,11,10,0,28,0,28,16,12,0,25,2,24,12,12,0
,봉화군,18,4,14,8,6,0,10,3,7,4,3,0,14,1,14,7,7,0,20,1,19,10,8,1,13,1,12,7,3,2
,울진군,26,1,28,17,11,0,21,3,18,8,8,2,25,1,28,16,11,1,33,1,33,11,15,7,28,1,30,17,7,6
,울릉군,4,0,4,2,2,0,5,0,5,4,1,0,7,0,12,6,6,0,9,0,9,2,7,0,3,0,3,2,1,0
,경산시,207,9,208,86,113,9,211,11,207,76,127,4,211,7,213,91,122,0,202,7,200,85,113,2,216,3,224,88,130,6
경남,진주시,204,7,207,121,82,4,196,12,192,103,80,9,186,9,184,102,79,3,178,5,178,94,72,12,181,4,184,114,60,10
,통영시,151,4,156,78,68,10,125,3,125,59,58,8,133,3,134,60,69,5,145,2,150,54,87,9,150,2,158,67,77,14
,김해시,313,9,321,179,136,6,342,11,347,189,153,5,356,12,360,151,190,19,357,7,361,158,176,27,338,11,344,164,160,20
,밀양시,97,6,94,51,38,5,86,4,87,42,42,3,82,3,85,42,38,5,71,0,74,34,30,10,90,7,85,48,25,12
,거제시,153,5,153,89,60,4,166,5,172,75,91,6,169,6,168,77,78,13,159,7,157,64,81,12,175,2,186,79,100,7
,의령군,14,1,13,6,6,1,23,2,24,7,15,2,20,0,20,8,10,2,16,0,17,8,9,0,22,0,24,14,10,0
,함안군,43,1,44,24,19,1,44,3,47,28,19,0,31,3,30,16,13,1,41,3,39,21,16,2,42,2,41,24,12,5
,창녕군,37,0,38,21,17,0,38,0,38,23,14,1,28,3,27,18,9,0,37,6,33,25,8,0,43,1,43,27,13,3
,양산시,207,7,206,97,81,28,186,7,191,99,76,16,188,7,186,75,81,30,193,7,197,90,88,19,196,6,196,86,92,18
,고성군,36,1,36,21,12,3,45,3,43,23,19,1,45,1,44,30,13,1,42,2,42,31,11,0,32,1,32,18,12,2
,사천시,117,4,116,60,46,10,93,7,86,42,42,2,101,3,101,47,50,4,107,4,107,51,51,5,115,4,116,48,59,9
,남해군,28,3,25,15,6,4,41,2,40,27,9,4,33,4,30,16,8,6,36,3,34,26,5,3,32,3,30,24,3,3
,하동군,19,2,17,10,7,0,23,3,25,13,11,1,23,1,24,14,9,1,37,4,33,16,17,0,27,1,26,18,7,1
,산청군,19,4,15,8,6,1,22,2,20,9,11,0,25,2,23,9,14,0,31,2,29,18,8,3,13,1,13,10,3,0
,함양군,29,2,27,17,6,4,27,2,25,16,6,3,44,6,40,24,15,1,35,4,33,17,11,5,32,2,33,17,12,4
,거창군,29,3,26,19,7,0,43,1,43,24,19,0,31,2,29,18,11,0,42,3,40,30,9,1,36,1,38,23,14,1
,합천군,31,2,29,15,11,3,27,1,26,18,7,1,25,2,27,20,6,1,32,3,32,20,10,2,24,0,28,12,10,6
,창원시(통합),664,25,663,307,328,28,601,27,590,269,295,26,610,21,606,240,299,67,691,26,691,290,330,71,654,18,660,269,305,86
제주,제주시,546,17,556,183,343,30,542,13,551,195,329,27,572,13,578,191,348,39,545,10,550,189,323,38,610,15,609,192,373,44
,서귀포시,175,13,171,86,77,8,193,7,197,96,86,15,177,5,177,91,66,20,182,6,186,86,84,16,194,11,191,76,102,13
