시도,시군구,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,
,,사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명])
,북구,319,8,320,126,166,28,331,6,336,132,168,36,299,9,295,127,136,32,328,8,327,111,176,40,313,9,318,119,158,41
,수성구,344,5,346,116,207,23,370,1,381,121,237,23,350,1,357,116,205,36,336,8,335,103,202,30,300,3,301,103,174,24
,달서구,515,9,518,178,298,42,557,8,563,187,352,24,526,9,532,176,338,18,448,3,456,150,282,24,423,5,430,139,275,16
,달성군,119,5,117,39,66,12,115,7,111,56,48,7,129,3,129,50,72,7,166,3,174,53,109,12,137,3,143,48,77,18
,군위군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,6,5,1,0,10,1,9,5,4,0
인천,중구,54,0,56,26,28,2,58,6,54,19,33,2,88,5,84,31,44,9,106,3,105,39,50,16,100,0,105,35,52,18
,동구,40,2,39,15,23,1,28,2,27,13,14,0,25,0,25,12,11,2,30,2,30,15,13,2,38,0,38,17,17,4
,미추홀구,223,3,228,96,94,38,259,4,269,90,144,35,302,6,310,101,175,34,287,5,292,92,175,25,298,10,293,82,185,26
,부평구,286,4,295,97,161,37,330,4,337,89,178,70,326,12,328,94,181,53,297,3,301,83,174,44,313,4,326,83,205,38
,남동구,325,10,329,113,190,26,231,5,230,63,157,10,273,4,282,93,157,32,283,6,291,97,158,36,297,9,303,89,157,57
,서구,309,4,316,111,202,3,286,10,290,108,176,6,296,6,306,79,208,19,214,4,215,71,135,9,240,10,245,87,144,14
,연수구,111,3,112,48,62,2,92,3,99,42,53,4,95,0,101,35,64,2,116,4,115,48,57,10,98,2,99,32,59,8
,계양구,173,2,175,71,100,4,155,2,158,59,91,8,103,4,104,29,73,2,86,3,84,36,48,0,95,4,94,38,56,0
,강화군,28,5,24,11,11,2,30,3,28,15,12,1,31,2,29,11,16,2,31,1,32,15,13,4,46,2,46,15,28,3
,옹진군,1,1,0,0,0,0,3,0,3,1,1,1,6,1,8,1,6,1,7,0,7,4,3,0,7,1,6,3,2,1
광주,동구,106,0,111,27,79,5,127,4,128,37,79,12,150,4,153,42,105,6,123,2,124,29,91,4,125,4,132,38,88,6
,서구,258,2,265,74,181,10,218,3,220,66,149,5,260,5,266,81,182,3,243,2,257,75,172,10,234,3,238,84,142,12
,북구,386,9,395,130,243,22,379,6,389,108,268,13,398,9,400,123,263,14,412,7,417,112,278,27,350,7,355,85,246,24
,광산구,263,6,268,93,162,13,290,2,301,102,184,15,304,7,311,82,218,11,276,4,282,76,199,7,265,6,277,81,187,9
,남구,159,3,162,64,91,7,137,6,138,39,95,4,137,1,137,55,80,2,148,1,156,47,104,5,153,1,160,53,100,7
대전,동구,173,8,170,66,98,6,170,6,168,68,98,2,200,6,201,75,122,4,226,6,231,87,141,3,212,2,219,81,130,8
,중구,252,6,256,88,158,10,202,5,205,67,132,6,233,3,239,74,164,1,203,3,207,76,131,0,207,3,210,59,150,1
,서구,467,12,477,148,317,12,415,8,425,135,284,6,468,4,481,144,325,12,543,9,554,153,385,16,429,3,454,117,324,13
,유성구,217,5,217,79,128,10,209,5,213,83,125,5,203,4,206,56,141,9,213,2,220,65,145,10,218,5,223,76,140,7
,대덕구,145,7,141,56,81,4,143,4,146,55,88,3,151,1,152,56,88,8,150,6,153,50,91,12,154,7,153,61,87,5
울산,중구,127,1,131,59,69,3,150,6,147,74,73,0,145,3,150,68,79,3,164,3,169,70,90,9,167,4,165,58,94,13
,남구,278,6,281,116,150,15,262,9,266,108,151,7,251,4,260,89,152,19,259,5,261,102,139,20,273,13,272,110,137,25
,동구,110,0,115,46,64,5,121,1,132,36,96,0,132,1,134,54,71,9,120,0,122,47,71,4,112,1,114,52,55,7
,북구,79,5,79,36,42,1,109,1,113,48,62,3,116,1,118,46,71,1,98,5,98,44,49,5,92,1,96,45,47,4
,울주군,119,4,117,59,43,15,139,4,135,70,52,13,116,2,118,52,55,11,111,6,106,44,50,12,114,7,118,54,49,15
세종,세종시,116,1,121,63,53,5,110,3,110,47,59,4,168,4,174,47,91,36,152,3,159,65,70,24,166,3,168,41,104,23
경기,수원시,846,11,873,282,528,63,812,9,825,247,545,33,926,10,945,306,587,52,896,19,912,288,576,48,893,14,916,288,570,58
,성남시,654,9,660,263,347,50,630,9,637,197,380,60,699,11,713,248,402,63,639,8,656,211,389,56,646,12,666,206,385,75
,의정부시,349,3,361,108,221,32,359,10,365,113,225,27,389,5,397,93,246,58,316,6,318,89,171,58,308,6,312,84,162,66
,안양시,249,4,255,109,140,6,208,5,210,76,129,5,240,4,244,111,127,6,236,9,238,111,122,5,221,3,221,98,115,8
,부천시,677,12,692,210,440,42,737,11,742,235,474,33,756,11,771,233,493,45,772,12,779,231,494,54,696,6,718,200,467,51
,안산시,517,8,519,210,279,30,521,9,530,195,307,28,526,6,541,194,317,30,526,9,543,194,306,43,480,8,485,159,272,54
,평택시,455,20,451,157,257,37,466,8,471,147,286,38,561,15,566,169,337,60,521,13,523,153,310,60,438,9,445,151,238,56
,광명시,180,1,188,62,100,26,184,3,185,66,104,15,167,4,175,56,110,9,191,6,197,69,106,22,201,4,201,60,124,17
,구리시,156,2,156,50,101,5,116,5,115,42,69,4,118,0,128,45,80,3,121,4,124,34,85,5,136,1,137,45,89,3
,양주시,128,9,124,41,76,7,108,2,108,38,62,8,142,4,147,44,90,13,140,3,143,40,85,18,164,2,167,55,87,25
,여주시,63,3,63,27,32,4,75,4,73,34,37,2,76,3,76,27,42,7,72,2,72,27,42,3,77,3,74,26,44,4
,화성시,360,11,366,137,210,19,373,11,372,147,207,18,441,13,451,163,245,43,448,8,457,170,241,46,552,13,559,171,314,74
,시흥시,273,10,272,88,166,18,310,13,306,98,190,18,322,8,323,109,185,29,267,6,273,97,148,28,263,8,263,100,118,45
,파주시,239,15,236,100,118,18,290,8,293,121,154,18,305,10,310,119,158,33,308,6,312,122,149,41,286,6,293,121,132,40
,고양시,549,19,549,186,311,52,599,14,607,239,320,48,621,16,621,202,356,63,578,10,592,174,357,61,573,10,600,230,307,63
,광주시,253,9,256,85,165,6,327,9,355,122,216,17,344,5,345,117,204,24,341,5,358,111,223,24,345,9,349,110,212,27
,연천군,29,2,27,12,13,2,35,2,36,20,15,1,25,2,24,8,16,0,24,1,23,13,7,3,32,0,35,18,16,1
,포천시,94,5,93,49,40,4,108,9,104,44,56,4,122,3,123,49,67,7,75,2,77,36,39,2,71,0,83,35,47,1
,가평군,54,0,56,21,31,4,50,4,49,19,27,3,63,0,66,24,38,4,54,2,57,21,32,4,49,5,47,15,28,4
,양평군,89,2,94,36,46,12,81,5,78,35,35,8,88,6,83,39,37,7,69,5,65,27,31,7,86,3,87,33,48,6
,이천시,139,11,141,44,96,1,158,3,161,55,96,10,164,8,163,49,104,10,147,8,149,61,79,9,160,2,165,64,91,10
,용인시,419,11,424,171,215,38,482,9,481,169,274,38,494,14,493,146,305,42,506,6,519,172,289,58,504,13,508,168,291,49
,안성시,104,4,106,39,60,7,143,12,138,53,77,8,139,3,146,54,73,19,128,3,132,53,62,17,117,10,109,41,57,11
,김포시,224,7,228,102,116,10,225,5,233,89,136,8,238,1,244,75,157,12,265,3,278,94,173,11,251,4,257,96,142,19
,동두천시,57,3,55,27,22,6,68,0,70,24,43,3,49,2,50,15,31,4,58,0,60,21,37,2,73,0,77,24,46,7
,과천시,20,3,18,6,12,0,18,0,21,7,14,0,24,1,23,8,15,0,18,1,18,6,11,1,27,1,27,11,12,4
,군포시,135,4,135,44,81,10,126,3,128,50,72,6,152,6,154,56,91,7,113,3,117,46,63,8,123,2,125,59,63,3
,남양주시,381,12,384,133,219,32,353,4,369,125,229,15,416,10,426,173,226,27,353,6,361,125,218,18,358,11,360,114,220,26
,오산시,187,1,193,64,109,20,172,3,174,59,99,16,154,1,158,56,81,21,175,4,177,63,88,26,169,4,173,60,87,26
,의왕시,65,2,63,28,28,7,58,2,65,33,29,3,37,5,33,21,10,2,52,1,51,29,21,1,51,0,52,26,26,0
,하남시,140,4,140,42,85,13,163,3,164,59,89,16,154,1,160,55,90,15,159,1,166,58,84,24,197,3,198,65,113,20
강원,춘천시,219,4,227,75,136,16,225,10,224,81,128,15,258,4,262,74,155,33,235,4,244,77,119,48,218,8,219,76,96,47
,원주시,268,10,273,101,157,15,270,8,275,105,161,9,256,8,264,104,154,6,231,11,234,91,132,11,177,7,180,80,91,9
,동해시,71,3,72,38,34,0,65,0,69,31,38,0,53,1,54,19,34,1,74,1,77,38,37,2,54,2,57,28,27,2
,강릉시,167,4,173,86,85,2,124,7,123,56,66,1,162,3,166,68,97,1,171,7,167,78,87,2,126,2,128,60,68,0
,속초시,78,0,82,44,38,0,79,0,81,35,46,0,87,3,90,50,38,2,68,2,73,47,25,1,73,2,82,42,40,0
,태백시,30,0,30,15,13,2,37,3,35,16,16,3,32,2,31,10,18,3,46,0,46,17,25,4,43,1,42,14,25,3
,삼척시,47,1,46,25,21,0,49,3,46,19,27,0,54,3,52,26,26,0,43,3,40,18,21,1,44,2,44,21,23,0
,홍천군,52,4,48,20,27,1,53,5,49,21,28,0,39,2,40,11,24,5,37,2,35,14,20,1,29,1,30,18,10,2
,횡성군,26,0,27,19,8,0,26,2,25,15,10,0,21,3,22,10,12,0,31,5,27,13,12,2,22,1,22,8,13,1
,영월군,27,2,26,10,10,6,20,0,20,10,8,2,23,3,21,9,7,5,25,2,23,10,8,5,30,1,29,12,14,3
,평창군,20,1,20,8,9,3,13,0,13,6,6,1,18,2,18,6,11,1,16,1,17,9,8,0,19,2,17,8,9,0
,정선군,18,1,18,8,10,0,25,4,26,7,18,1,22,0,22,10,12,0,24,1,24,9,15,0,26,2,26,12,13,1
,철원군,24,2,23,7,15,1,9,0,9,4,5,0,28,0,29,18,11,0,24,1,26,10,14,2,15,1,15,6,9,0
,화천군,15,2,13,7,6,0,11,0,12,3,9,0,11,1,10,3,6,1,6,0,6,2,4,0,15,0,15,8,6,1
,양구군,6,1,5,2,3,0,16,4,16,8,6,2,13,1,12,3,8,1,15,0,15,10,4,1,11,1,10,4,5,1
,인제군,8,0,10,6,3,1,7,1,6,3,3,0,10,0,14,4,8,2,18,2,16,9,7,0,7,1,6,4,2,0
,고성군,21,0,23,8,10,5,15,1,14,11,3,0,21,0,23,8,15,0,11,0,11,7,4,0,14,3,12,4,6,2
,양양군,27,1,28,12,16,0,20,0,20,12,8,0,31,4,31,11,19,1,28,0,29,10,18,1,32,2,32,17,15,0
충북,청주시,602,17,611,247,353,11,556,11,571,207,352,12,604,13,611,233,354,24,627,14,642,265,336,41,563,12,568,208,323,37
,충주시,120,4,117,51,64,2,149,6,148,60,86,2,150,10,143,51,91,1,148,6,144,56,88,0,138,3,138,55,83,0
,제천시,89,5,90,52,36,2,99,7,96,51,43,2,116,3,120,53,63,4,92,4,90,40,38,12,128,3,138,45,82,11
,보은군,25,1,24,12,12,0,21,1,26,10,16,0,21,0,21,9,12,0,20,1,20,10,10,0,19,2,18,10,8,0
,옥천군,18,1,17,5,11,1,36,2,35,21,14,0,33,0,33,18,15,0,20,0,20,13,7,0,26,3,23,14,9,0
,영동군,30,7,24,12,10,2,29,0,30,18,10,2,24,0,25,14,9,2,27,1,27,20,6,1,42,0,42,17,24,1
,진천군,55,6,50,18,31,1,51,4,49,24,24,1,49,1,52,20,32,0,60,2,63,35,27,1,62,2,62,24,38,0
,괴산군,27,3,26,13,12,1,13,0,13,8,4,1,22,1,21,13,7,1,18,2,17,8,8,1,21,2,19,6,12,1
,음성군,62,4,61,28,33,0,34,3,32,19,12,1,66,3,66,32,32,2,46,9,39,14,23,2,70,3,73,31,34,8
,단양군,19,0,24,9,15,0,15,0,15,9,6,0,20,1,21,12,9,0,16,1,17,8,9,0,24,0,25,11,13,1
,증평군,24,1,23,15,7,1,28,1,27,10,15,2,30,2,29,14,11,4,47,1,48,21,19,8,26,3,24,8,15,1
충남,천안시,454,22,463,165,277,21,460,11,480,158,292,30,506,21,506,160,315,31,587,18,594,207,315,72,578,18,586,185,319,82
,아산시,204,9,201,91,99,11,185,8,189,88,94,7,206,8,208,99,101,8,201,5,203,77,119,7,197,14,199,101,93,5
,보령시,110,5,114,55,57,2,108,6,108,57,50,1,85,5,81,39,39,3,82,4,82,49,32,1,73,2,75,35,39,1
,공주시,72,1,73,41,29,3,68,2,68,37,29,2,69,3,69,29,39,1,82,5,81,41,40,0,80,6,79,33,43,3
,서산시,132,10,126,72,47,7,131,9,130,76,52,2,142,4,143,67,70,6,137,9,130,62,58,10,134,4,133,73,58,2
,금산군,27,4,24,17,7,0,22,1,22,11,11,0,45,1,49,30,19,0,29,1,29,15,14,0,38,2,37,23,14,0
,태안군,49,6,48,27,19,2,52,2,50,25,24,1,55,4,54,23,26,5,37,0,37,19,18,0,48,2,46,30,14,2
,논산시,75,8,71,41,29,1,67,7,64,38,26,0,73,5,71,41,29,1,56,5,53,36,15,2,63,4,64,35,28,1
,부여군,33,2,32,25,7,0,44,6,39,27,12,0,42,4,42,33,9,0,42,5,38,30,8,0,60,4,58,39,19,0
,서천군,49,4,45,23,22,0,50,3,48,19,29,0,62,5,61,23,37,1,38,3,39,15,23,1,47,1,50,19,29,2
,청양군,23,3,20,15,5,0,21,2,21,15,6,0,19,1,18,9,9,0,17,2,15,6,8,1,19,1,18,9,9,0
,홍성군,45,3,44,22,22,0,43,3,41,31,10,0,48,6,44,27,17,0,51,3,50,24,19,7,73,1,72,34,35,3
,예산군,58,5,62,31,31,0,49,4,46,24,21,1,43,4,41,17,23,1,74,2,74,36,38,0,59,4,58,33,23,2
,당진시,107,7,106,50,55,1,123,9,122,62,58,2,87,5,89,35,51,3,116,2,118,45,73,0,113,5,112,35,75,2
,계룡시,12,1,11,7,4,0,16,1,15,6,9,0,9,0,10,8,2,0,12,0,12,4,8,0,12,0,12,4,8,0
전북,전주시,447,17,451,212,231,8,437,17,444,187,255,2,445,12,468,197,269,2,456,8,474,225,245,4,450,13,455,199,252,4
,군산시,203,6,211,73,131,7,212,10,211,77,127,7,240,10,234,71,141,22,199,8,200,66,102,32,234,14,229,71,127,31
